epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,308.353,1.18299,0.86989,1.29341,0.73314,0.63543,0.61016,0.41105,1.44242,1.06157,1.51461,0.000404375,0.000404375,0.000404375
43,315.887,1.13169,0.81547,1.2512,0.68566,0.6281,0.58504,0.40199,1.38841,1.14858,1.46418,0.00038375,0.00038375,0.00038375
44,322.662,1.0579,0.80253,1.2248,0.71815,0.6297,0.62631,0.42331,1.35671,0.93458,1.42833,0.000363125,0.000363125,0.000363125
45,330.169,1.121,0.79654,1.26532,0.64284,0.68756,0.57977,0.39979,1.38946,0.97082,1.44714,0.0003425,0.0003425,0.0003425
46,336.929,1.09904,0.80121,1.24262,0.64058,0.64019,0.56747,0.38792,1.38368,1.15897,1.42136,0.000321875,0.000321875,0.000321875
47,344.414,1.08622,0.8051,1.23884,0.63334,0.68193,0.65031,0.44511,1.43105,1.11237,1.51359,0.00030125,0.00030125,0.00030125
48,351.488,1.08819,0.77182,1.23522,0.71556,0.60758,0.65654,0.45415,1.40846,0.93489,1.51376,0.000280625,0.000280625,0.000280625
49,359.028,1.08321,0.77467,1.21628,0.61074,0.73036,0.68009,0.49061,1.41289,1.00355,1.46697,0.00026,0.00026,0.00026
50,366.619,1.0859,0.75468,1.20424,0.65558,0.62658,0.60116,0.42327,1.39009,1.13654,1.43748,0.000239375,0.000239375,0.000239375
51,374.849,1.03083,0.7285,1.23298,0.66737,0.61849,0.62937,0.43669,1.39816,1.14806,1.44634,0.00021875,0.00021875,0.00021875
52,382.315,0.99621,0.62318,1.21481,0.61802,0.65447,0.62074,0.43642,1.37702,1.10943,1.44549,0.000198125,0.000198125,0.000198125
53,388.952,0.98817,0.66488,1.2254,0.62557,0.67029,0.62081,0.4393,1.37944,1.11527,1.45574,0.0001775,0.0001775,0.0001775
54,396.341,0.96583,0.61492,1.20804,0.67896,0.63754,0.61987,0.43362,1.35867,1.10168,1.45196,0.000156875,0.000156875,0.000156875
55,403.148,0.96145,0.61819,1.18759,0.67688,0.71611,0.68849,0.47119,1.34597,1.02577,1.43862,0.00013625,0.00013625,0.00013625
56,410.42,0.97913,0.60234,1.21097,0.6743,0.71043,0.67691,0.47965,1.35888,1.02851,1.43214,0.000115625,0.000115625,0.000115625
57,417.613,0.93485,0.5721,1.17757,0.70118,0.68061,0.65239,0.4594,1.39279,1.08331,1.44899,9.5e-05,9.5e-05,9.5e-05
58,424.355,0.92118,0.55933,1.17382,0.72129,0.66231,0.63284,0.43964,1.40251,1.13004,1.45548,7.4375e-05,7.4375e-05,7.4375e-05
59,431.71,0.92612,0.55808,1.17211,0.67417,0.69118,0.63691,0.45052,1.39165,1.13561,1.45049,5.375e-05,5.375e-05,5.375e-05
60,438.375,0.91642,0.55994,1.15742,0.68093,0.69293,0.66228,0.47464,1.39958,1.11166,1.4511,3.3125e-05,3.3125e-05,3.3125e-05
